GA comparative study
Each GA configuration repeated 10 times (mean +/- std shown)

--- SubsetSum: parameter sweep ---
SubsetSum    | dpTopDown    | size=   15 | time=0.0004s
SubsetSum    | bottomUp     | size=   15 | time=0.0006s
SubsetSum    | GA           | size=   15 | fitness=1.000 | time=0.049s
SubsetSum    | recursive    | size=   18 | time=0.0004s
SubsetSum    | dpTopDown    | size=   18 | time=0.0003s
SubsetSum    | bottomUp     | size=   18 | time=0.0006s
SubsetSum    | GA           | size=   18 | fitness=1.000 | time=0.051s
SubsetSum    | recursive    | size=   20 | time=0.0004s
SubsetSum    | dpTopDown    | size=   20 | time=0.0004s
SubsetSum    | bottomUp     | size=   20 | time=0.0006s
SubsetSum    | GA           | size=   20 | fitness=1.000 | time=0.054s
SubsetSum    | recursive    | size=   22 | time=0.0005s
SubsetSum    | dpTopDown    | size=   22 | time=0.0003s
SubsetSum    | bottomUp     | size=   22 | time=0.0008s
SubsetSum    | GA           | size=   22 | fitness=1.000 | time=0.056s
SubsetSum    | recursive    | size=   24 | time=0.0004s
SubsetSum    | dpTopDown    | size=   24 | time=0.0003s
SubsetSum    | bottomUp     | size=   24 | time=0.0008s
SubsetSum    | GA           | size=   24 | fitness=1.000 | time=0.058s

--- Partition: size growth study ---
Partition    | recursive    | size=   10 | time=0.0004s
Partition    | dpTopDown    | size=   10 | time=0.0006s
Partition    | bottomUp     | size=   10 | time=0.0004s
Partition    | GA           | size=   10 | fitness=1.000 | time=0.042s
Partition    | recursive    | size=   15 | time=0.0005s
Partition    | dpTopDown    | size=   15 | time=0.0008s
Partition    | bottomUp     | size=   15 | time=0.0005s
Partition    | GA           | size=   15 | fitness=1.000 | time=0.048s
Partition    | recursive    | size=   18 | time=0.0004s
Partition    | dpTopDown    | size=   18 | time=0.0003s
Partition    | bottomUp     | size=   18 | time=0.0003s
Partition    | GA           | size=   18 | fitness=0.500 | time=0.053s
Partition    | recursive    | size=   20 | time=0.0006s
Partition    | dpTopDown    | size=   20 | time=0.0011s
Partition    | bottomUp     | size=   20 | time=0.0007s
Partition    | GA           | size=   20 | fitness=1.000 | time=0.057s
Partition    | recursive    | size=   22 | time=0.0009s
Partition    | dpTopDown    | size=   22 | time=0.0014s
Partition    | bottomUp     | size=   22 | time=0.0009s
Partition    | GA           | size=   22 | fitness=1.000 | time=0.064s
Partition    | recursive    | size=   24 | time=0.0013s
Partition    | dpTopDown    | size=   24 | time=0.0015s
Partition    | bottomUp     | size=   24 | time=0.0010s
Partition    | GA           | size=   24 | fitness=1.000 | time=0.063s

--- BinPacking: size growth study ---
BinPacking   | recursive    | size=    8 | time=0.0010s
BinPacking   | dpTopDown    | size=    8 | time=0.0012s
BinPacking   | bottomUp     | size=    8 | time=0.0008s
BinPacking   | GA           | size=    8 | fitness=1.333 | time=0.068s
BinPacking   | recursive    | size=   10 | time=0.0159s
BinPacking   | dpTopDown    | size=   10 | time=0.0295s
BinPacking   | bottomUp     | size=   10 | time=0.0111s
BinPacking   | GA           | size=   10 | fitness=1.333 | time=0.077s
BinPacking   | recursive    | size=   12 | time=0.2827s
BinPacking   | dpTopDown    | size=   12 | time=0.5406s
BinPacking   | bottomUp     | size=   12 | time=0.0995s
BinPacking   | GA           | size=   12 | fitness=1.250 | time=0.084s
BinPacking   | recursive    | size=   14 | time=12.8060s
BinPacking   | dpTopDown    | size=   14 | time=26.9614s
BinPacking   | bottomUp     | size=   14 | time=0.9429s
BinPacking   | GA           | size=   14 | fitness=1.225 | time=0.099s
BinPacking   | recursive    | size=   16 | time=509.4905s
BinPacking   | dpTopDown    | size=   16 | SKIPPED (exceeded 600s)
BinPacking   | bottomUp     | size=   16 | time=41.6141s
BinPacking   | GA           | size=   16 | fitness=1.200 | time=0.646s
BinPacking   | recursive    | size=   18 | SKIPPED (exceeded 600s)
BinPacking   | bottomUp     | size=   18 | time=341.7449s
BinPacking   | GA           | size=   18 | fitness=1.141 | time=0.666s
BinPacking   | bottomUp     | size=   20 | SKIPPED (exceeded 600s)
BinPacking   | GA           | size=   20 | fitness=1.130 | time=0.994s

--- Knapsack: size growth study ---
Knapsack     | recursive    | size=   10 | time=0.0604s
Knapsack     | dpTopDown    | size=   10 | time=0.0581s
Knapsack     | bottomUp     | size=   10 | time=0.0365s
Knapsack     | GA           | size=   10 | fitness=492.000 | time=0.596s
Knapsack     | recursive    | size=   14 | time=0.0727s
Knapsack     | dpTopDown    | size=   14 | time=0.0576s
Knapsack     | bottomUp     | size=   14 | time=0.0329s
Knapsack     | GA           | size=   14 | fitness=706.000 | time=0.765s
Knapsack     | recursive    | size=   18 | time=0.2851s
Knapsack     | dpTopDown    | size=   18 | time=0.0736s
Knapsack     | bottomUp     | size=   18 | time=0.0781s
Knapsack     | GA           | size=   18 | fitness=843.000 | time=0.993s
Knapsack     | recursive    | size=   20 | time=1.3046s
Knapsack     | dpTopDown    | size=   20 | time=0.0524s
Knapsack     | bottomUp     | size=   20 | time=0.0627s
Knapsack     | GA           | size=   20 | fitness=1003.000 | time=0.806s
Knapsack     | recursive    | size=   22 | time=5.6869s
Knapsack     | dpTopDown    | size=   22 | time=0.0592s
Knapsack     | bottomUp     | size=   22 | time=0.0418s
Knapsack     | GA           | size=   22 | fitness=1254.000 | time=0.802s
Knapsack     | recursive    | size=   24 | time=19.9165s
Knapsack     | dpTopDown    | size=   24 | time=0.0710s
Knapsack     | bottomUp     | size=   24 | time=0.5530s
Knapsack     | GA           | size=   24 | fitness=1433.000 | time=0.940s

Done.
